comment,replies,date,user_name
this is exactly what we needed,[],2024-10-24T01:49:46Z,@espanjolo830
I nearly fuckin passed out,[],2024-10-24T01:48:01Z,@ThruThaRoofComedy
The moustach👨e club! 😂😂😂,[],2024-10-24T01:47:11Z,@JN-North.Guitars
"As Amby says, Jess is cracking’ the whip 😄",[],2024-10-24T01:39:33Z,@mvhsm
Can’t wait to see them live in a month🤘🏻🤘🏻🤘🏻,[],2024-10-24T01:37:35Z,@cobyward2878
now we need one with lukey,[],2024-10-24T01:20:12Z,@zhalosc
Jess coming in hot to kill the vibe,[],2024-10-24T01:09:22Z,@seanryan3937
I'm wait this for a long time..,[],2024-10-24T01:06:59Z,@swg480
This is the most excited I’ve ever been to watch a YouTube video,[],2024-10-24T01:04:26Z,@drewpitt9100
Of course Walky Jake would wear the crocs,[],2024-10-24T00:54:07Z,@kmmk292929
0:37 Croc Rock 🐊 🎸,"['Hate that guy', '😂']",2024-10-24T00:39:26Z,@Cguy7
"Bad ass. We've all been waiting for this one. 

Thank you!",[],2024-10-24T00:05:08Z,@ivanivebeen
Very psyched.,[],2024-10-23T23:41:40Z,@michaelcarrig627
Also the sidequesting Stu stories… alllll dayyyyyy,[],2024-10-23T23:41:37Z,@emshaw27
King Gizzard is definitely my favorite band going right now,"['We feel for you', ""\u200b@@karljanus8308why? They're great""]",2024-10-23T23:40:42Z,@lesclaypoolonbass9431
"Stu's Holy Explorer was my favorite King Gizzard guitar, its a shame the venue broke the headstock off",[],2024-10-23T23:40:24Z,@JaeMightBeWrong
